x,max GTE
10.000000,0.659029
11.000000,0.615007
12.000000,0.576260
13.000000,0.541929
14.000000,0.511324
15.000000,0.483887
16.000000,0.459163
17.000000,0.436778
18.000000,0.416423
19.000000,0.397838
20.000000,0.380807
21.000000,0.365147
22.000000,0.350700
23.000000,0.337333
24.000000,0.324932
25.000000,0.313396
26.000000,0.302639
27.000000,0.292587
28.000000,0.283172
29.000000,0.274337
30.000000,0.266029
31.000000,0.258205
32.000000,0.250823
33.000000,0.243847
34.000000,0.237245
35.000000,0.230987
36.000000,0.225049
37.000000,0.219405
38.000000,0.214035
39.000000,0.208920
40.000000,0.204042
41.000000,0.199385
42.000000,0.194934
43.000000,0.190676
44.000000,0.186599
45.000000,0.182691
46.000000,0.178943
47.000000,0.175345
48.000000,0.171888
49.000000,0.168563
50.000000,0.165365
51.000000,0.162284
52.000000,0.159316
53.000000,0.156454
54.000000,0.153693
55.000000,0.151027
56.000000,0.148451
57.000000,0.145961
58.000000,0.143553
59.000000,0.141223
60.000000,0.138968
61.000000,0.136782
62.000000,0.134665
63.000000,0.132611
64.000000,0.130619
65.000000,0.128686
66.000000,0.126809
67.000000,0.124986
68.000000,0.123214
69.000000,0.121492
70.000000,0.119817
71.000000,0.118187
72.000000,0.116602
73.000000,0.115058
74.000000,0.113554
75.000000,0.112089
76.000000,0.110661
77.000000,0.109269
78.000000,0.107911
79.000000,0.106587
80.000000,0.105295
81.000000,0.104033
82.000000,0.102802
83.000000,0.101599
84.000000,0.100424
85.000000,0.099276
86.000000,0.098153
87.000000,0.097056
88.000000,0.095983
89.000000,0.094933
90.000000,0.093906
91.000000,0.092901
92.000000,0.091917
93.000000,0.090954
94.000000,0.090011
95.000000,0.089087
96.000000,0.088182
97.000000,0.087295
98.000000,0.086425
99.000000,0.085573
100.000000,0.084737
