x,max GTE
10.000000,0.408017
11.000000,0.360060
12.000000,0.319887
13.000000,0.285933
14.000000,0.257001
15.000000,0.232165
16.000000,0.210697
17.000000,0.192025
18.000000,0.175690
19.000000,0.161323
20.000000,0.148623
21.000000,0.137347
22.000000,0.127290
23.000000,0.118285
24.000000,0.110192
25.000000,0.102894
26.000000,0.096289
27.000000,0.090294
28.000000,0.084837
29.000000,0.079856
30.000000,0.075297
31.000000,0.071115
32.000000,0.067268
33.000000,0.063723
34.000000,0.060450
35.000000,0.057420
36.000000,0.054611
37.000000,0.052002
38.000000,0.049574
39.000000,0.047312
40.000000,0.045200
41.000000,0.043226
42.000000,0.041377
43.000000,0.039644
44.000000,0.038017
45.000000,0.036488
46.000000,0.035049
47.000000,0.033693
48.000000,0.032413
49.000000,0.031205
50.000000,0.030063
51.000000,0.028983
52.000000,0.027959
53.000000,0.026989
54.000000,0.026068
55.000000,0.025193
56.000000,0.024361
57.000000,0.023570
58.000000,0.022816
59.000000,0.022098
60.000000,0.021413
61.000000,0.020760
62.000000,0.020136
63.000000,0.019539
64.000000,0.018969
65.000000,0.018423
66.000000,0.017900
67.000000,0.017399
68.000000,0.016919
69.000000,0.016459
70.000000,0.016017
71.000000,0.015592
72.000000,0.015184
73.000000,0.014792
74.000000,0.014415
75.000000,0.014052
76.000000,0.013702
77.000000,0.013366
78.000000,0.013041
79.000000,0.012729
80.000000,0.012427
81.000000,0.012136
82.000000,0.011855
83.000000,0.011584
84.000000,0.011321
85.000000,0.011068
86.000000,0.010823
87.000000,0.010586
88.000000,0.010357
89.000000,0.010135
90.000000,0.009920
91.000000,0.009712
92.000000,0.009510
93.000000,0.009315
94.000000,0.009126
95.000000,0.008942
96.000000,0.008764
97.000000,0.008591
98.000000,0.008423
99.000000,0.008260
100.000000,0.008101
